GEOID20,STATEFP20,COUNTYFP20,NAME20,CountyName,SubdivisionName,SubdivisionType,SLDLST20,SLDUST20,CD116FP,SLDLST22,SLDUST22,CDNew,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_mcg,uss_16_rep_too,atg_16_dem_sha,atg_16_rep_raf,uss_18_dem_cas,uss_18_rep_bar,gov_18_dem_wol,gov_18_rep_wag,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv,Tot_2010_tot,Tot_2010_vap,Tot_2019_cvap
42095000333,42,095,BETHLEHEM WARD 01 DISTRICT 03,Northampton,Bethlehem,Township,138,018,07,137,18,7,1793,237,1055,182,2,233,0,8,76,1431,168,889,143,0,183,0,7,41,533.1,493.5,497.2,528.6,530.4,485.0,401.0,260.0,417.0,249.0,502.4,520.2,254.5,409.0,,,403.2,475.7,1782,1385,1656
42095000332,42,095,BETHLEHEM WARD 01 DISTRICT 02,Northampton,Bethlehem,Township,138,018,07,137,18,7,1507,144,1195,75,1,37,0,11,44,1256,101,1036,54,1,25,0,10,29,587.2,614.3,549.4,645.4,593.3,592.6,456.0,376.0,486.0,353.0,617.5,576.6,364.5,471.0,,,516.3,534.4,1529,1243,1204
42095000352,42,095,BETHLEHEM WARD 03 DISTRICT 03,Northampton,Bethlehem,Township,135,018,07,137,18,7,1305,170,999,56,0,35,1,0,44,1046,104,831,54,0,29,1,0,27,381.3,418.9,362.2,442.2,401.2,392.2,323.0,248.0,345.0,229.0,417.8,381.6,238.5,334.0,,,346.1,362.5,1357,1013,1093
42095000351,42,095,BETHLEHEM WARD 02 DISTRICT 04,Northampton,Bethlehem,Township,135,018,07,137,18,7,951,112,727,24,0,39,0,2,47,765,79,612,18,0,33,0,1,22,241.8,219.9,233.8,223.8,241.8,211.4,248.0,225.0,265.0,211.0,218.4,239.1,218.0,256.5,,,218.2,246.1,1004,797,737
42095000358,42,095,BETHLEHEM WARD 04 DISTRICT 01,Northampton,Bethlehem,Township,138,018,07,137,18,7,2530,287,1726,153,5,277,1,12,69,2155,216,1500,132,4,251,1,8,43,124.9,146.5,115.2,154.1,121.2,147.3,463.9,358.9,487.9,318.9,149.3,120.4,338.9,475.9,,,225.1,262.6,1092,803,766
42095000345,42,095,BETHLEHEM WARD 02 DISTRICT 03,Northampton,Bethlehem,Township,135,018,07,137,18,7,1012,163,770,32,0,6,1,3,37,844,108,683,21,0,4,0,3,25,243.2,290.5,255.1,276.3,282.4,240.6,240.9,190.1,270.0,164.0,269.1,260.3,177.0,255.4,,,232.3,258.3,1033,860,967
42095000372,42,095,BETHLEHEM WARD 04 DISTRICT 04,Northampton,Bethlehem,Township,138,018,07,137,18,7,1597,191,1158,93,0,81,0,9,65,1323,136,996,77,0,61,0,8,45,241.6,250.4,236.8,256.6,255.8,237.5,355.2,279.9,374.3,270.3,248.2,244.7,275.1,364.8,,,258.9,292.7,1521,1194,1324
42095000337,42,095,BETHLEHEM WARD 01 DISTRICT 04,Northampton,Bethlehem,Township,138,018,07,137,18,7,1597,171,1105,214,2,50,0,20,35,1407,136,998,200,2,34,0,20,17,279.4,314.7,259.2,331.4,273.0,313.0,222.7,207.4,239.8,196.3,319.7,270.5,201.9,231.3,,,272.6,254.8,1471,1135,1300
42095000331,42,095,BETHLEHEM WARD 01 DISTRICT 01,Northampton,Bethlehem,Township,138,018,07,137,18,7,1302,108,966,72,8,79,0,25,44,1078,82,827,53,7,65,0,17,27,294.9,376.3,289.6,388.3,311.2,360.5,328.0,306.0,347.0,285.0,375.0,298.6,295.5,337.5,,,343.2,314.1,1270,1052,1038
42095000354,42,095,BETHLEHEM PRECINCT 03 DISTRICT 04,Northampton,Bethlehem,Township,138,018,07,137,18,7,1253,146,929,76,2,83,0,2,15,995,113,736,64,2,68,0,0,12,312.0,338.5,305.9,343.9,316.1,329.0,339.0,224.0,360.0,206.0,337.1,311.3,215.0,349.5,,,288.3,326.6,1262,898,932
42121000675,42,121,SUGARCREEK DISTRICT 01,Venango,Sugarcreek,Borough,064,021,15,64,21,16,1761,9,1672,10,4,0,0,0,66,1396,7,1337,4,3,0,0,0,45,218.0,520.0,241.0,464.0,295.0,470.0,262.0,321.0,279.0,314.0,484.7,251.3,317.5,270.5,,,417.8,259.0,1903,1471,1581
42121000102,42,121,CORNPLANTER,Venango,Cornplanter,Township,064,021,15,64,21,15,2320,27,2210,14,1,4,0,1,63,1907,9,1849,8,1,3,0,1,36,365.5,739.0,373.6,706.3,410.1,709.1,371.0,534.9,405.7,515.0,718.1,383.1,525.0,388.3,,,640.9,385.2,2418,1963,1977
42121000695,42,121,SUGARCREEK DISTRICT 05,Venango,Sugarcreek,Borough,064,021,15,64,21,16,1187,11,1128,5,2,3,0,2,36,967,7,929,3,1,3,0,2,22,140.4,447.3,162.2,408.0,184.8,406.4,163.9,316.3,176.9,301.5,420.6,162.4,308.9,170.4,,,375.9,165.6,1300,995,909
42121000010,42,121,ALLEGHENY,Venango,Allegheny,Township,064,021,15,64,21,15,284,2,261,1,0,0,0,5,15,223,1,210,0,0,0,0,0,12,26.0,104.0,22.0,108.0,28.0,105.0,30.0,93.0,33.0,93.0,105.7,25.3,93.0,31.5,,,100.6,27.8,276,221,192
42121000020,42,121,BARKEYVILLE,Venango,Barkeyville,Borough,064,021,15,64,21,16,188,1,164,2,0,1,0,3,17,141,0,129,1,0,1,0,3,7,35.8,93.1,39.5,74.2,51.2,85.3,37.0,61.5,39.2,59.2,84.2,42.2,60.3,38.1,,,74.7,40.5,219,165,176
42121000300,42,121,IRWIN,Venango,Irwin,Township,064,021,15,64,21,16,1253,17,1158,10,0,6,0,6,56,995,8,932,3,0,5,0,6,41,96.2,461.9,110.5,422.9,123.8,446.6,119.0,329.5,124.8,323.8,443.8,110.2,326.7,121.9,,,396.9,114.9,1379,1051,1029
42121000030,42,121,CANAL,Venango,Canal,Township,064,021,15,64,21,16,937,3,890,8,1,0,1,5,29,792,3,755,5,1,0,1,5,22,95.7,317.8,110.5,292.2,111.5,316.8,107.6,232.9,107.6,240.8,309.0,105.9,236.9,107.6,,,280.1,106.6,1023,837,691
42121000040,42,121,CHERRYTREE,Venango,Cherrytree,Township,064,021,15,64,21,15,1308,12,1238,4,1,0,0,5,48,1066,9,1019,4,1,0,0,1,32,173.0,514.0,194.0,474.0,219.0,490.0,178.0,401.0,186.0,395.0,492.6,195.3,398.0,182.0,,,454.8,190.0,1540,1214,1135
42121000740,42,121,VICTORY,Venango,Victory,Township,064,021,15,64,21,16,375,0,366,0,0,2,0,0,7,302,0,296,0,0,2,0,0,4,36.1,139.5,40.5,119.4,45.9,131.2,49.0,101.6,50.4,102.2,130.0,40.8,101.9,49.7,,,118.8,44.4,410,335,307
42121000050,42,121,CLINTON,Venango,Clinton,Township,064,021,15,64,21,15,953,4,918,8,0,1,0,2,20,670,2,644,8,0,1,0,2,13,61.6,263.1,70.8,236.8,77.9,252.9,80.8,175.4,79.8,176.4,250.9,70.1,175.9,80.3,,,220.9,74.2,854,618,654
42121000060,42,121,CLINTONVILLE,Venango,Clintonville,Borough,064,021,15,64,21,15,439,2,405,2,0,4,0,0,26,346,1,328,0,0,4,0,0,13,34.0,147.0,36.0,128.0,38.0,137.0,37.0,93.0,37.0,93.0,137.3,36.0,93.0,37.0,,,119.6,36.4,508,401,391
42121000070,42,121,COOPERSTOWN,Venango,Cooperstown,Borough,064,021,15,64,21,16,399,3,390,2,0,0,0,0,4,309,3,302,0,0,0,0,0,4,40.0,163.0,50.0,148.0,61.0,148.0,44.0,120.0,50.0,117.0,153.0,50.3,118.5,47.0,,,139.2,49.0,460,351,369
42121000170,42,121,EMLENTON,Venango,Emlenton,Borough,064,021,15,64,21,15,611,5,576,1,4,2,0,0,23,490,3,468,1,4,2,0,0,12,97.7,183.5,104.1,167.1,117.8,174.4,115.0,114.1,122.4,111.4,175.0,106.5,112.8,118.7,,,150.1,111.4,617,495,545
42121000265,42,121,FRANKLIN DISTRICT 03,Venango,Franklin,City,064,021,15,64,21,16,2093,29,1860,40,1,11,1,2,149,1626,14,1490,37,0,10,0,2,73,227.8,462.1,251.3,418.7,291.6,429.6,252.1,265.0,261.7,256.9,436.8,256.9,261.0,256.9,,,366.5,256.9,2290,1752,1598
42121000225,42,121,FRANKLIN DISTRICT 02,Venango,Franklin,City,064,021,15,64,21,16,2262,41,2004,44,7,20,0,9,137,1827,20,1671,32,7,13,0,8,76,420.5,691.9,444.5,658.3,458.7,695.3,414.6,487.8,435.3,468.5,681.8,441.2,478.2,424.9,,,600.4,434.7,2421,1944,1858
42121000195,42,121,FRANKLIN DISTRICT 01,Venango,Franklin,City,064,021,15,64,21,16,1722,31,1536,40,1,19,0,2,93,1352,25,1223,30,1,19,0,0,54,233.9,320.9,242.5,286.4,265.1,303.0,235.2,229.2,247.2,224.6,303.4,247.2,226.9,241.2,,,272.8,244.8,1834,1433,1504
42121000290,42,121,FRENCHCREEK,Venango,Frenchcreek,Township,064,021,15,64,21,16,1427,17,1354,2,3,2,0,3,46,1163,14,1110,2,3,1,0,3,30,199.3,545.8,233.4,479.3,257.4,505.7,250.0,353.8,267.3,343.7,510.3,230.0,348.7,258.6,,,445.6,241.5,1542,1273,1222
42121000310,42,121,JACKSON,Venango,Jackson,Township,064,021,15,64,21,16,917,7,868,0,1,0,3,3,35,755,7,712,0,1,0,3,3,29,73.0,379.0,80.0,342.0,110.0,340.0,81.0,288.0,99.0,272.0,353.7,87.7,280.0,90.0,,,324.2,88.6,1147,882,856
42121000320,42,121,MINERAL,Venango,Mineral,Township,064,021,15,64,21,16,498,4,462,2,0,1,0,2,27,424,2,401,0,0,0,0,2,19,56.0,192.0,70.0,168.0,77.0,174.0,72.0,157.0,84.0,143.0,178.0,67.7,150.0,78.0,,,166.8,71.8,538,441,403
42121000330,42,121,OAKLAND,Venango,Oakland,Township,064,021,15,64,21,15,1361,12,1308,0,0,1,0,2,38,1108,9,1064,0,0,1,0,2,32,155.0,587.0,190.0,529.0,212.0,557.0,197.0,430.0,208.0,427.0,557.7,185.7,428.5,202.5,,,506.0,192.4,1504,1181,1070
42121000395,42,121,OIL CITY DISTRICT 03,Venango,Oil City,City,064,021,15,64,21,15,1956,49,1745,44,3,3,0,1,111,1509,29,1381,27,3,1,0,0,68,228.0,329.4,252.9,285.2,279.4,303.1,184.0,206.7,190.0,205.7,305.9,253.4,206.2,187.0,,,266.0,226.9,2229,1668,1473
42121000355,42,121,OIL CITY DISTRICT 01,Venango,Oil City,City,064,021,15,64,21,15,1815,22,1698,12,1,0,0,6,76,1441,11,1364,10,1,0,0,2,53,264.0,465.7,284.4,430.5,289.4,461.0,275.5,307.9,298.0,288.6,452.4,279.2,298.2,286.7,,,390.7,282.2,2015,1523,1411
42121000530,42,121,OIL CREEK,Venango,Oil Creek,Township,064,021,15,64,21,15,753,5,727,0,0,2,0,2,17,629,5,609,0,0,2,0,0,13,79.0,302.0,85.0,297.0,96.0,291.0,86.0,240.0,95.0,230.0,296.7,86.7,235.0,90.5,,,272.0,88.2,854,688,593
42121000465,42,121,OIL CITY DISTRICT 07,Venango,Oil City,City,064,021,15,64,21,15,935,21,858,15,0,5,0,1,35,749,14,694,7,0,5,0,1,28,183.8,248.7,190.1,221.9,198.4,248.7,188.1,172.3,207.7,156.8,239.8,190.8,164.6,197.9,,,209.7,193.6,1075,846,1021
42121000425,42,121,OIL CITY DISTRICT 05,Venango,Oil City,City,064,021,15,64,21,15,996,26,920,13,1,4,1,0,31,782,15,733,8,1,4,0,0,21,172.1,288.2,182.6,265.3,190.2,288.2,180.7,217.8,198.8,203.5,280.6,181.7,210.7,189.7,,,252.6,184.9,1061,810,715
42121000540,42,121,PINEGROVE,Venango,Pinegrove,Township,064,021,15,64,21,15,1328,6,1282,1,0,4,0,0,35,1040,3,1005,0,0,3,0,0,29,113.0,498.0,141.0,458.0,157.0,474.0,138.0,369.0,160.0,346.0,476.7,137.0,357.5,149.0,,,429.0,141.8,1354,1046,905
42121000445,42,121,OIL CITY DISTRICT 06,Venango,Oil City,City,064,021,15,64,21,15,1400,44,1262,30,3,2,1,3,55,1112,15,1032,22,3,2,0,3,35,231.2,320.1,233.2,303.3,257.9,298.4,222.3,201.6,219.3,204.5,307.3,240.8,203.1,220.8,,,265.6,232.8,1440,1065,1274
42121000375,42,121,OIL CITY DISTRICT 02,Venango,Oil City,City,064,021,15,64,21,15,1247,22,1115,32,2,1,0,1,74,923,13,835,25,2,1,0,0,47,160.2,259.1,164.1,231.4,197.8,238.3,143.4,154.2,156.2,146.3,242.9,174.0,150.3,149.8,,,205.9,164.3,1339,973,951
42121000405,42,121,OIL CITY DISTRICT 04,Venango,Oil City,City,064,021,15,64,21,15,1264,18,1162,19,3,4,2,3,53,984,8,921,17,3,4,1,3,27,185.1,280.1,209.3,242.7,232.4,266.1,184.2,170.9,194.6,162.6,263.0,208.9,166.8,189.4,,,224.5,201.1,1398,1089,810
42121000550,42,121,PLEASANTVILLE,Venango,Pleasantville,Borough,064,021,15,64,21,15,846,9,792,5,0,4,0,0,36,655,5,615,5,0,4,0,0,26,88.0,286.0,91.0,273.0,91.0,282.0,103.0,219.0,109.0,209.0,280.3,90.0,214.0,106.0,,,253.8,96.4,892,671,665
42121000560,42,121,PLUM,Venango,Plum,Township,064,021,15,64,21,15,903,5,871,0,2,0,0,0,25,732,5,707,0,2,0,0,0,18,94.0,328.4,104.0,314.3,122.1,317.2,118.9,246.5,120.0,245.6,320.0,106.7,246.1,119.5,,,290.4,111.8,1056,827,660
42121000570,42,121,POLK,Venango,Polk,Borough,064,021,15,64,21,16,634,4,599,13,0,1,1,2,14,526,3,497,13,0,1,1,2,9,53.0,135.0,62.0,114.0,63.0,135.0,60.0,89.0,63.0,86.0,128.0,59.3,87.5,61.5,,,111.8,60.2,816,660,673
42121000580,42,121,PRESIDENT,Venango,President,Township,064,021,15,64,21,15,448,3,418,0,2,3,0,0,22,401,1,382,0,2,3,0,0,13,82.0,211.0,96.0,181.0,101.0,196.0,92.0,133.0,98.0,127.0,196.0,93.0,130.0,95.0,,,169.6,93.8,540,479,385
42121000575,42,121,RICHLAND,Venango,Richland,Township,064,021,15,64,21,15,777,15,728,1,3,6,0,2,22,604,8,573,0,3,3,0,2,15,55.8,315.7,68.8,290.5,82.4,298.3,84.7,235.1,96.5,229.3,301.5,69.0,232.2,90.6,,,273.8,77.6,777,610,580
42121000640,42,121,ROUSEVILLE,Venango,Rouseville,Borough,064,021,15,64,21,15,457,1,432,1,3,1,0,0,19,345,1,324,0,3,0,0,0,17,53.0,141.0,64.0,131.0,85.0,125.0,63.0,91.0,64.0,89.0,132.3,67.3,90.0,63.5,,,115.4,65.8,523,399,418
42121000650,42,121,SANDYCREEK,Venango,Sandycreek,Township,064,021,15,64,21,16,2055,20,1955,7,0,2,0,1,70,1694,11,1630,5,0,2,0,1,45,305.5,750.5,333.3,676.6,358.0,737.6,365.2,546.8,402.6,517.2,721.6,332.3,532.0,383.9,,,645.7,352.9,2260,1739,1889
42121000660,42,121,SCRUBGRASS,Venango,Scrubgrass,Township,064,021,15,64,21,15,749,2,719,2,0,12,0,0,14,645,1,619,2,0,12,0,0,11,83.2,264.6,83.9,255.4,101.8,251.2,82.3,212.8,79.7,218.4,257.1,89.6,215.6,81.0,,,240.5,86.2,751,602,580
42121000680,42,121,SUGARCREEK DISTRICT 02,Venango,Sugarcreek,Borough,064,021,15,64,21,16,637,1,599,4,3,2,0,0,28,510,1,484,3,2,2,0,0,18,75.6,213.7,95.8,189.0,100.2,199.6,94.1,140.7,101.1,134.5,200.8,90.6,137.6,97.6,,,175.5,93.4,779,633,760
